method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,alpha_value,0.4879612922668457,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,gate_mean,0.3214593529701233,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,gate_std,0.3506103754043579,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.0017056482611224055,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,1.000938057899475,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,1,VectorizedLightFADC,alpha_value,0.5085808634757996,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,1,VectorizedLightFADC,gate_mean,0.4953470528125763,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,1,VectorizedLightFADC,gate_std,0.3156428635120392,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,1,VectorizedLightFADC,depthwise_weight_mean,-0.013539671897888184,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,1,VectorizedLightFADC,depthwise_weight_std,0.9999064803123474,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,1,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,42,first_test_batch,1,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,alpha_value,0.49528002738952637,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,gate_mean,0.3304329514503479,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,gate_std,0.35260388255119324,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.0063089728355407715,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,1.0038028955459595,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
